,Molecular Formula,Smiles,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Molecular Weight,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Grade
1023,C27H27N7O,CCCCc1nn(Cc2ccccc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,465.56,4.33,94.28,7.0,1.0,0.0,9.0,0.35,7.19,5.92,5.0,35.0,8.0,1.0,0.0,465.2277,4.0
1024,C27H27N7O,CCCCc1nn(Cc2ccccc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,465.56,4.33,94.28,7.0,1.0,0.0,9.0,0.35,7.19,5.92,5.0,35.0,8.0,1.0,0.0,465.2277,4.0
1025,C27H27N7O,CCCCc1nn(Cc2ccccc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.91,0.33,4.01,8.84,465.56,4.33,94.28,7.0,1.0,0.0,9.0,0.35,7.19,5.92,5.0,35.0,8.0,1.0,0.0,465.2277,4.0
1026,C23H25N7O3,CCCCc1nn(C(C)C(=O)O)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,447.5,2.93,131.58,8.0,2.0,0.0,9.0,0.4,5.51,1.07,4.0,33.0,10.0,2.0,0.0,447.2019,5.0
1027,C33H31Cl2F3N4O4S2,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccc(C)s2)cc1.ClCCl,14.04,0.28,2.59,8.92,739.67,6.6,103.06,8.0,1.0,2.0,10.0,0.18,8.39,7.45,5.0,45.0,8.0,1.0,2.0,654.1582,2.0
1028,C28H26N6O2,CCCCc1nn(-c2ccccc2)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,478.56,5.35,109.58,6.0,2.0,1.0,9.0,0.3,6.82,2.07,5.0,36.0,8.0,2.0,1.0,478.2117,3.0
1029,C30H28N6OS,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2N2N=C(c3ccccc3)N[S+]2[O-])cc1,13.91,0.26,1.56,9.61,520.66,5.68,75.41,5.0,1.0,2.0,6.0,0.31,6.81,6.41,5.0,38.0,7.0,1.0,2.0,520.2045,6.0
1030,C28H25ClN6O2,CCCCc1nn(-c2ccc(Cl)cc2)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,513.0,6.0,109.58,6.0,2.0,2.0,9.0,0.25,7.38,2.64,5.0,37.0,8.0,2.0,2.0,512.1728,3.0
1031,C35H33N7O3,CCCCCN(C(=O)c1ccc(O)cc1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,15.08,0.27,3.21,7.6,599.7,5.84,119.03,9.0,1.0,2.0,10.0,0.2,6.15,6.12,6.0,45.0,10.0,1.0,2.0,599.2645,2.0
1032,C30H30N6O2,CCCCc1nn(-c2ccccc2)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,506.61,5.83,98.58,7.0,1.0,2.0,10.0,0.24,7.65,6.39,5.0,38.0,8.0,1.0,2.0,506.24300000000005,6.0
1033,C36H35N7O3S,CCCCCN(C(=O)c1ccc([S+](C)[O-])cc1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,11.89,0.22,1.8,6.63,645.79,5.88,115.87,9.0,0.0,2.0,11.0,0.16,5.18,5.18,6.0,47.0,10.0,0.0,2.0,645.2522,5.0
1034,C36H35N7O3,CCCCCN(C(=O)c1ccccc1OC)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,14.6,0.27,2.81,8.29,613.72,6.15,108.03,9.0,0.0,2.0,11.0,0.16,6.29,6.29,6.0,46.0,10.0,0.0,2.0,613.2801,3.0
1035,C33H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,,,,,634.68,6.23,103.06,7.0,1.0,2.0,10.0,0.2,7.83,6.89,5.0,45.0,8.0,1.0,2.0,634.1862,8.0
1036,C33H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,14.76,0.28,3.14,9.09,634.68,6.23,103.06,7.0,1.0,2.0,10.0,0.2,7.83,6.89,5.0,45.0,8.0,1.0,2.0,634.1862,8.0
1037,C33H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,14.59,0.28,3.03,8.98,634.68,6.23,103.06,7.0,1.0,2.0,10.0,0.2,7.83,6.89,5.0,45.0,8.0,1.0,2.0,634.1862,8.0
1038,C33H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,14.76,0.28,3.14,9.09,634.68,6.23,103.06,7.0,1.0,2.0,10.0,0.2,7.83,6.89,5.0,45.0,8.0,1.0,2.0,634.1862,8.0
1039,C33H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,14.76,0.28,3.14,9.09,634.68,6.23,103.06,7.0,1.0,2.0,10.0,0.2,7.83,6.89,5.0,45.0,8.0,1.0,2.0,634.1862,8.0
1040,C33H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,14.76,0.28,3.14,9.09,634.68,6.23,103.06,7.0,1.0,2.0,10.0,0.2,7.83,6.89,5.0,45.0,8.0,1.0,2.0,634.1862,8.0
1041,C33H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,9.93,0.19,0.07,6.11,634.68,6.23,103.06,7.0,1.0,2.0,10.0,0.2,7.83,6.89,5.0,45.0,8.0,1.0,2.0,634.1862,8.0
1042,C34H43N5O5S,CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCCC)nc3cc(NC(=O)CCCC)c(C)nc32)cc1,15.71,0.3,2.82,7.53,633.82,7.14,132.28,8.0,2.0,2.0,15.0,0.13,6.69,6.27,4.0,45.0,10.0,2.0,2.0,633.2985,1.0
1043,C36H33F4N5O5S,CCCNC(=O)c1ccc(C(F)(F)F)c(-n2nc(CCC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)c4ccccc4)cc3F)c2=O)c1,13.43,0.26,3.6,7.36,723.75,6.12,132.16,8.0,2.0,2.0,12.0,0.15,7.49,6.54,5.0,51.0,10.0,2.0,2.0,723.2139,1.0
1044,C31H31F3N4O5S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C2CCCO2)cc1,13.31,0.26,3.28,7.45,628.67,5.09,112.29,8.0,1.0,2.0,10.0,0.26,6.42,5.48,4.0,44.0,9.0,1.0,2.0,628.1967,4.0
1045,C34H30N6O2,CCCCc1nn(-c2ccccc2-c2ccccc2)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,554.65,7.02,109.58,6.0,2.0,2.0,10.0,0.19,8.48,3.73,6.0,42.0,8.0,2.0,2.0,554.243,2.0
1046,C33H38FN5O6S,Cc1nc2ccc(NC(=O)N(C)C(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F,13.25,0.26,2.75,6.18,651.76,5.89,139.7,8.0,2.0,2.0,10.0,0.22,5.91,4.62,4.0,46.0,11.0,2.0,3.0,651.2527,3.0
1047,C33H37ClFN5O6S,CCCCc1nn(-c2cc(NC(C)=O)ccc2Cl)c(=O)n1Cc1ccc(-c2cc(CCC)ccc2S(=O)(=O)NC(=O)OCC)cc1F,12.9,0.26,2.62,6.26,686.21,6.23,141.39,9.0,2.0,2.0,13.0,0.17,7.46,6.52,4.0,47.0,11.0,2.0,3.0,685.2137,3.0
1048,C25H31N7O,CCCCc1nn(CC(C)(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,20.02,0.37,4.59,9.46,445.57,4.33,94.28,7.0,1.0,0.0,8.0,0.44,7.12,5.86,4.0,33.0,8.0,1.0,0.0,445.259,3.0
1049,C25H31N7O,CCCCc1nn(CC(C)(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,445.57,4.33,94.28,7.0,1.0,0.0,8.0,0.44,7.12,5.86,4.0,33.0,8.0,1.0,0.0,445.259,3.0
1050,C25H31N7O,CCCCc1nn(CC(C)(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,19.48,0.36,4.35,9.2,445.57,4.33,94.28,7.0,1.0,0.0,8.0,0.44,7.12,5.86,4.0,33.0,8.0,1.0,0.0,445.259,3.0
1051,C31H32F4N4O5S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,14.66,0.29,3.05,8.47,648.68,6.46,112.29,8.0,1.0,2.0,9.0,0.21,7.8,6.85,4.0,45.0,9.0,1.0,2.0,648.203,1.0
1052,C33H27ClF3N5O6S,CCCCc1nn(-c2ccc([N+](=O)[O-])cc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2Cl)cc1,12.32,0.25,2.01,6.02,714.12,6.79,146.2,9.0,1.0,2.0,11.0,0.12,8.38,7.44,5.0,49.0,11.0,1.0,3.0,713.1323,3.0
1053,C33H27ClF3N5O6S,CCCCc1nn(-c2ccc([N+](=O)[O-])cc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2Cl)cc1,12.32,0.25,2.01,6.02,714.12,6.79,146.2,9.0,1.0,2.0,11.0,0.12,8.38,7.44,5.0,49.0,11.0,1.0,3.0,713.1323,3.0
1054,C32H30F3N5O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2cccn2C)cc1,13.79,0.27,3.23,8.15,637.68,5.57,107.99,8.0,1.0,2.0,10.0,0.22,7.06,6.12,5.0,45.0,9.0,1.0,2.0,637.1971,3.0
1055,C27H26N6O,CCCCc1nc2ccc(C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,18.64,0.34,3.46,9.4,450.55,4.94,89.35,6.0,1.0,0.0,7.0,0.38,5.71,4.95,5.0,34.0,7.0,1.0,0.0,450.2168,4.0
1056,C27H26N6O,CCCCc1nc2ccc(C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,19.88,0.36,4.02,10.03,450.55,4.94,89.35,6.0,1.0,0.0,7.0,0.38,5.71,4.95,5.0,34.0,7.0,1.0,0.0,450.2168,4.0
1057,C27H26N6O,CCCCc1nc2ccc(C)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,18.64,0.34,3.46,9.4,450.55,4.94,89.35,6.0,1.0,0.0,7.0,0.38,5.71,4.95,5.0,34.0,7.0,1.0,0.0,450.2168,4.0
1058,C34H31F3N4O5S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2OC)cc1,14.12,0.27,3.15,8.36,664.71,6.24,112.29,8.0,1.0,2.0,11.0,0.18,7.68,6.73,5.0,47.0,9.0,1.0,2.0,664.1967,2.0
1059,C35H35N7O,CCCCCN(Cc1ccccc1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,13.51,0.24,1.2,9.42,569.71,6.5,81.73,8.0,0.0,2.0,11.0,0.17,7.33,7.29,6.0,43.0,8.0,0.0,2.0,569.2903,5.0
1060,C36H34ClF3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2cc(CCC)ccc2S(=O)(=O)NC(=O)c2ccccc2Cl)cc1,12.49,0.25,1.05,8.62,711.21,7.84,103.06,7.0,1.0,2.0,12.0,0.14,9.84,8.9,5.0,49.0,8.0,1.0,2.0,710.1941,3.0
1061,C23H25N3O4S,CCCCc1nnc(SCC(=O)OC)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,14.26,0.28,1.97,6.65,439.54,4.3,94.31,7.0,1.0,0.0,10.0,0.37,4.35,1.17,3.0,31.0,7.0,1.0,0.0,439.1566,8.0
1062,C32H27F3N4O4S,CCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,12.71,0.24,2.05,7.65,620.65,5.84,103.06,7.0,1.0,2.0,9.0,0.22,7.39,6.45,5.0,44.0,8.0,1.0,2.0,620.1705,5.0
1063,C32H29N3O4,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(OC(C(=O)O)c2ccccc2)c(C(=O)c2ccccc2)c1,13.32,0.24,0.83,7.34,519.6,6.09,94.31,6.0,1.0,2.0,9.0,0.24,5.85,3.13,5.0,39.0,7.0,1.0,2.0,519.2158,7.0
1064,C33H28F4N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2F)cc1,15.15,0.29,3.52,9.59,652.67,6.37,103.06,7.0,1.0,2.0,10.0,0.18,7.98,7.04,5.0,46.0,8.0,1.0,2.0,652.1767,1.0
1065,C26H24N4O3S,CCCSc1nnc(-c2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,12.26,0.23,0.35,5.97,472.57,5.45,97.11,6.0,2.0,1.0,9.0,0.31,5.57,2.22,4.0,34.0,7.0,2.0,1.0,472.1569,9.0
1066,C26H24N4O3S,CCCSc1nnc(-c2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,12.26,0.23,0.35,5.97,472.57,5.45,97.11,6.0,2.0,1.0,9.0,0.31,5.57,2.22,4.0,34.0,7.0,2.0,1.0,472.1569,9.0
1067,C19H20BrN3O3,CCc1nc2c(C)cc(C)nc2n1Cc1cc(Br)c(O)c(C(=O)OC)c1,14.6,0.32,2.2,7.91,418.29,3.91,77.24,6.0,1.0,0.0,4.0,0.65,4.94,4.92,3.0,26.0,6.0,1.0,0.0,417.0688,8.0
1068,C25H24N8O,CCCCc1nn(-c2ccccn2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,452.52,3.67,107.17,8.0,1.0,0.0,8.0,0.38,6.5,5.24,5.0,34.0,9.0,1.0,0.0,452.2073,6.0
1069,C25H24N8O,CCCCc1nn(-c2ccccn2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.7,0.29,3.43,6.63,452.52,3.67,107.17,8.0,1.0,0.0,8.0,0.38,6.5,5.24,5.0,34.0,9.0,1.0,0.0,452.2073,6.0
1070,C25H24N8O,CCCCc1nn(-c2ccccn2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,452.52,3.67,107.17,8.0,1.0,0.0,8.0,0.38,6.5,5.24,5.0,34.0,9.0,1.0,0.0,452.2073,6.0
1071,C29H28N4O3S2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2cc(C)sc2S(=O)(=O)NC(=O)c2ccccc2)cc1,17.48,0.34,3.71,10.14,544.7,5.81,93.95,7.0,1.0,2.0,7.0,0.28,6.51,5.64,5.0,38.0,7.0,1.0,2.0,544.1603,1.0
1072,C36H43N3O4S,CCCCc1nc2ccc(C(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)CCC2CCCC2)cc1,14.38,0.27,1.47,8.99,613.82,7.35,98.13,6.0,1.0,2.0,12.0,0.18,8.49,7.41,4.0,44.0,7.0,1.0,2.0,613.2974,3.0
1073,C28H29N7O,CCCCc1nn(-c2ccc(CC)cc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,479.59,4.83,94.28,7.0,1.0,0.0,9.0,0.33,8.03,6.77,5.0,36.0,8.0,1.0,0.0,479.2434,5.0
1074,C28H29N7O,CCCCc1nn(-c2ccc(CC)cc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.78,0.29,2.74,8.03,479.59,4.83,94.28,7.0,1.0,0.0,9.0,0.33,8.03,6.77,5.0,36.0,8.0,1.0,0.0,479.2434,5.0
1075,C28H29N7O,CCCCc1nn(-c2ccc(CC)cc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,479.59,4.83,94.28,7.0,1.0,0.0,9.0,0.33,8.03,6.77,5.0,36.0,8.0,1.0,0.0,479.2434,5.0
1076,C33H39N5O7S,CCCCc1nc2ccc(NC(=O)NC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCOC)cc1,14.61,0.28,4.44,6.02,649.77,5.05,157.72,9.0,3.0,2.0,13.0,0.17,5.48,4.19,4.0,46.0,12.0,3.0,3.0,649.257,2.0
1077,C31H32FN5O6S,Cc1nc2ccc(NC(=O)N(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC2CC2)cc1F,13.89,0.27,3.77,6.18,621.69,4.87,139.7,8.0,2.0,1.0,9.0,0.27,4.68,3.38,4.0,44.0,11.0,2.0,2.0,621.2057,3.0
1078,C29H31N3O3,CCCc1nc2c(C)cc(C)nc2n1Cc1ccc(C2c3ccccc3C(C)(O)C2C(=O)O)cc1,,,,,469.59,5.1,88.24,5.0,2.0,1.0,6.0,0.41,4.84,2.13,4.0,35.0,6.0,2.0,1.0,469.2365,6.0
1079,C29H39IN4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccc(I)cc2)[C@H](C(=O)O)C1,7.99,0.18,-1.35,6.01,634.56,6.42,84.4,3.0,1.0,2.0,11.0,0.23,6.19,2.76,2.0,38.0,8.0,1.0,2.0,634.2016,10.0
1080,C37H41N5O4S,CCCC(=O)Nc1cnc2c(nc(CCC)n2Cc2ccc(-c3ccccc3S(=O)(=O)NC(=O)c3ccc(CCC)cc3)cc2)c1C,13.01,0.25,1.26,6.89,651.83,7.22,123.05,7.0,2.0,2.0,13.0,0.14,7.83,7.08,5.0,47.0,9.0,2.0,2.0,651.2879,4.0
1081,C35H32FN7O2,CCCCCN(C(=O)c1ccc(F)cc1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,14.57,0.27,2.49,8.88,601.69,6.28,98.8,8.0,0.0,2.0,10.0,0.17,6.59,6.59,6.0,45.0,9.0,0.0,2.0,601.2602,3.0
1082,C27H26N6OS,CCCCc1nc2ccc(SC)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,16.9,0.32,2.79,9.13,482.61,5.36,89.35,7.0,1.0,1.0,8.0,0.3,5.96,5.11,5.0,35.0,7.0,1.0,1.0,482.1889,4.0
1083,C30H29F3N4O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C2CC2)cc1,14.74,0.29,3.49,8.56,598.65,5.33,103.06,7.0,1.0,2.0,10.0,0.27,6.76,5.82,4.0,42.0,8.0,1.0,2.0,598.1862,3.0
1084,C38H31N7O2,CCc1nc2ccc(N(Cc3ccccc3)C(=O)c3ccccc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,11.56,0.21,0.44,6.51,617.71,6.7,109.66,7.0,1.0,2.0,9.0,0.19,7.05,6.23,7.0,47.0,9.0,1.0,2.0,617.2539,6.0
1085,C29H32N4O5S,CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCC)nc3ccc(N)cc3c2=O)cc1,16.52,0.32,4.21,6.8,548.67,4.86,133.38,8.0,2.0,1.0,10.0,0.21,5.72,5.47,4.0,39.0,9.0,3.0,1.0,548.2093,2.0
1086,C32H34N4O3S2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2cc(CC(C)C)sc2S(=O)(=O)NC(=O)c2ccccc2)cc1,12.99,0.25,0.92,8.11,586.78,6.7,93.95,7.0,1.0,2.0,9.0,0.21,7.69,6.82,5.0,41.0,7.0,1.0,2.0,586.2072,5.0
1087,C33H37ClFN5O6S,CCCCC(=O)Nc1ccc(Cl)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)cc3F)c2=O)c1,13.54,0.27,2.84,6.57,686.21,6.45,141.39,9.0,2.0,2.0,11.0,0.18,7.46,6.52,4.0,47.0,11.0,2.0,3.0,685.2137,2.0
1088,C33H37ClFN5O6S,CCCCC(=O)Nc1ccc(Cl)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)cc3F)c2=O)c1,13.54,0.27,2.84,6.57,686.21,6.45,141.39,9.0,2.0,2.0,11.0,0.18,7.46,6.52,4.0,47.0,11.0,2.0,3.0,685.2137,2.0
1089,C33H37ClFN5O6S,CCCCC(=O)Nc1ccc(Cl)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)cc3F)c2=O)c1,13.54,0.27,2.84,6.57,686.21,6.45,141.39,9.0,2.0,2.0,11.0,0.18,7.46,6.52,4.0,47.0,11.0,2.0,3.0,685.2137,2.0
1090,C30H42N4O4,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2cccc(C)c2)[C@H](C(=O)O)C1,9.57,0.18,-1.13,5.92,522.69,6.13,84.4,3.0,1.0,2.0,11.0,0.36,5.77,2.54,2.0,38.0,8.0,1.0,2.0,522.3206,10.0
1091,C21H22N4O4S,CCSc1nnc(COC)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,12.39,0.24,1.74,4.97,426.5,3.54,106.34,7.0,2.0,0.0,9.0,0.5,3.11,-0.38,3.0,30.0,8.0,2.0,0.0,426.1362,10.0
1092,C21H22N4O4S,CCSc1nnc(COC)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,12.39,0.24,1.74,4.97,426.5,3.54,106.34,7.0,2.0,0.0,9.0,0.5,3.11,-0.38,3.0,30.0,8.0,2.0,0.0,426.1362,10.0
1093,C36H43N5O7S,CCCc1nc2ccc(NC(=O)N3CCOCC3)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCCC(C)C)cc1,13.64,0.26,3.63,6.32,689.83,5.78,148.93,9.0,2.0,2.0,12.0,0.18,6.37,5.15,4.0,49.0,12.0,2.0,3.0,689.2883,2.0
1094,C35H34FN3O4S,CCCCc1nc2ccc(C(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccc(F)cc2)cc1,13.73,0.26,1.56,8.56,611.74,6.84,98.13,6.0,1.0,2.0,10.0,0.19,8.17,7.11,5.0,44.0,7.0,1.0,2.0,611.2254,4.0
1095,C17H17Cl2N3O,CCc1nc2c(C)cc(C)nc2n1Cc1cc(Cl)c(O)c(Cl)c1,22.26,0.46,3.13,15.3,350.25,4.67,50.94,4.0,1.0,0.0,3.0,0.75,4.73,3.99,3.0,23.0,4.0,1.0,0.0,349.0749,5.0
1096,C39H33N7O2,CC(C)c1nc2ccc(N(Cc3ccccc3)C(=O)c3ccccc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,9.37,0.17,-1.34,5.4,631.74,7.26,109.66,7.0,1.0,2.0,9.0,0.18,7.58,6.77,7.0,48.0,9.0,1.0,2.0,631.2696,9.0
1097,C34H30FN7O2,CCCCN(C(=O)c1ccc(F)cc1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,14.7,0.27,2.75,8.74,587.66,5.89,98.8,8.0,0.0,2.0,9.0,0.21,6.15,6.15,6.0,44.0,9.0,0.0,2.0,587.2445,3.0
1098,C32H36N4O4S,CCCc1nc2ccc3cc2c(=O)n1Cc1ccc(cc1)-c1ccccc1S(=O)(=O)NC(=O)CCCCCCCN3,16.63,0.32,3.88,8.64,572.73,5.64,110.16,7.0,2.0,2.0,2.0,0.32,6.07,5.81,4.0,41.0,8.0,2.0,2.0,572.2457,1.0
1099,C31H37N7O2,CCCCc1nc(C)c(CCC(=O)N2CCCCC2)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,,,,539.68,4.73,109.66,7.0,1.0,1.0,10.0,0.31,4.43,3.01,4.0,40.0,9.0,1.0,1.0,539.3009,4.0
1100,C39H39F3N4O6S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2cc3ccccc3o2)cc1.CCOCC,13.05,,,,748.82,,,,,,,,,,,,,,,748.2542,1.0
1101,C36H45N5O4S,CCCC(=O)Nc1c(C)nc2c(nc(CCC)n2Cc2ccc(-c3ccccc3S(=O)(=O)NC(=O)CCC3CCCC3)cc2)c1C,14.89,0.28,2.36,7.79,643.85,7.23,123.05,7.0,2.0,2.0,13.0,0.16,6.93,6.26,4.0,46.0,9.0,2.0,2.0,643.3192,1.0
1102,C37H29N7O3,Cn1nnnc1-c1ccccc1-c1ccc(Cn2cnc3ccc(N(Cc4ccc(O)cc4)C(=O)c4ccccc4)cc3c2=O)cc1,13.41,0.24,2.46,6.98,619.69,5.85,119.03,9.0,1.0,2.0,8.0,0.23,6.1,6.1,7.0,47.0,10.0,1.0,2.0,619.2332,4.0
1103,C25H23Cl2N3O3,CCc1nc2c(C)cc(C)nc2n1Cc1cc(Cl)c(OC(C(=O)O)c2ccccc2)c(Cl)c1,15.85,0.32,1.51,9.94,484.38,6.17,77.24,5.0,1.0,1.0,7.0,0.34,5.6,2.88,4.0,33.0,6.0,1.0,1.0,483.1116,5.0
1104,C26H28N6O3,CCCCc1nc(C)c(CCC(=O)O)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,,,,472.55,3.81,126.65,7.0,2.0,0.0,10.0,0.36,3.95,-0.5,4.0,35.0,9.0,2.0,0.0,472.2223,4.0
1105,C27H25N7O3,CCCCc1nn(-c2ccccc2C(=O)O)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,495.54,3.97,131.58,8.0,2.0,0.0,9.0,0.32,6.68,1.92,5.0,37.0,10.0,2.0,0.0,495.2019,7.0
